 Tamanho(bytes), Tempo(ms),LarguraDeBanda(kb/s)
43574,12,+ACI-3546,06119791667+ACI-
107050,29,+ACI-3604,86260775862+ACI-
43574,11,+ACI-3868,43039772727+ACI-
43574,11,+ACI-3868,43039772727+ACI-
43574,11,+ACI-3868,43039772727+ACI-
43574,11,+ACI-3868,43039772727+ACI-
107050,27,+ACI-3871,88946759259+ACI-
43574,10,+ACI-4255,2734375+ACI-
124105,22,+ACI-5508,92223011364+ACI-
124105,17,+ACI-7129,19347426471+ACI-
124105,17,+ACI-7129,19347426471+ACI-
107050,14,+ACI-7467,21540178571+ACI-
107050,14,+ACI-7467,21540178571+ACI-
124105,15,+ACI-8079,75260416667+ACI-
124105,14,+ACI-8656,87779017857+ACI-
124105,14,+ACI-8656,87779017857+ACI-
107050,11,+ACI-9503,72869318182+ACI-
107050,10,+ACI-10454,1015625+ACI-
107050,10,+ACI-10454,1015625+ACI-
124105,11,+ACI-11017,8444602273+ACI-
124105,11,+ACI-11017,8444602273+ACI-
107050,9,+ACI-11615,6684027778+ACI-
124105,10,+ACI-12119,62890625+ACI-
60606,1,+ACI-59185,546875+ACI-
60606,1,+ACI-59185,546875+ACI-
60606,1,+ACI-59185,546875+ACI-
60606,1,+ACI-59185,546875+ACI-
60606,1,+ACI-59185,546875+ACI-
60606,1,+ACI-59185,546875+ACI-
60606,1,+ACI-59185,546875+ACI-
60606,1,+ACI-59185,546875+ACI-
60606,1,+ACI-59185,546875+ACI-
60606,1,+ACI-59185,546875+ACI-
62303,1,+ACI-60842,7734375+ACI-
62303,1,+ACI-60842,7734375+ACI-
62303,1,+ACI-60842,7734375+ACI-
62303,1,+ACI-60842,7734375+ACI-
62303,1,+ACI-60842,7734375+ACI-
62303,1,+ACI-60842,7734375+ACI-
62303,1,+ACI-60842,7734375+ACI-
62303,1,+ACI-60842,7734375+ACI-
62303,1,+ACI-60842,7734375+ACI-
62303,1,+ACI-60842,7734375+ACI-
62372,1,+ACI-60910,15625+ACI-
62372,1,+ACI-60910,15625+ACI-
62372,1,+ACI-60910,15625+ACI-
62372,1,+ACI-60910,15625+ACI-
62372,1,+ACI-60910,15625+ACI-
62372,1,+ACI-60910,15625+ACI-
62372,1,+ACI-60910,15625+ACI-
62372,1,+ACI-60910,15625+ACI-
62372,1,+ACI-60910,15625+ACI-
62372,1,+ACI-60910,15625+ACI-
69598,1,+ACI-67966,796875+ACI-
69598,1,+ACI-67966,796875+ACI-
69598,1,+ACI-67966,796875+ACI-
69598,1,+ACI-67966,796875+ACI-
69598,1,+ACI-67966,796875+ACI-
69598,1,+ACI-67966,796875+ACI-
69598,1,+ACI-67966,796875+ACI-
69598,1,+ACI-67966,796875+ACI-
69598,1,+ACI-67966,796875+ACI-
69598,1,+ACI-67966,796875+ACI-
78311,1,+ACI-76475,5859375+ACI-
78311,1,+ACI-76475,5859375+ACI-
78311,1,+ACI-76475,5859375+ACI-
78311,1,+ACI-76475,5859375+ACI-
78311,1,+ACI-76475,5859375+ACI-
78311,1,+ACI-76475,5859375+ACI-
78311,1,+ACI-76475,5859375+ACI-
78311,1,+ACI-76475,5859375+ACI-
78311,1,+ACI-76475,5859375+ACI-
78311,1,+ACI-76475,5859375+ACI-
81702,1,+ACI-79787,109375+ACI-
81702,1,+ACI-79787,109375+ACI-
81702,1,+ACI-79787,109375+ACI-
81702,1,+ACI-79787,109375+ACI-
81702,1,+ACI-79787,109375+ACI-
81702,1,+ACI-79787,109375+ACI-
81702,1,+ACI-79787,109375+ACI-
81702,1,+ACI-79787,109375+ACI-
81702,1,+ACI-79787,109375+ACI-
81702,1,+ACI-79787,109375+ACI-
86564,1,+ACI-84535,15625+ACI-
86564,1,+ACI-84535,15625+ACI-
86564,1,+ACI-84535,15625+ACI-
86564,1,+ACI-84535,15625+ACI-
86564,1,+ACI-84535,15625+ACI-
86564,1,+ACI-84535,15625+ACI-
86564,1,+ACI-84535,15625+ACI-
86564,1,+ACI-84535,15625+ACI-
86564,1,+ACI-84535,15625+ACI-
86564,1,+ACI-84535,15625+ACI-
