CONNECT,CLIENT,1513802375123,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802375123,1513802376273,.mp4,2232746,SERVER_LOCAL
DISCONNECT,CLIENT,1513802376276,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
1.9739999999999998
REQUEST_CONNECT,CLIENT,1513802377517,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802377521,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802377521,1513802378993,.pdf,2459010,SERVER_LOCAL
DISCONNECT,CLIENT,1513802378996,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
3.6599999999999993
REQUEST_CONNECT,CLIENT,1513802380265,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802380269,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802380270,1513802381944,.mp3,3363260,SERVER_LOCAL
DISCONNECT,CLIENT,1513802381946,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
4.756
REQUEST_CONNECT,CLIENT,1513802383229,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802383234,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802383237,1513802384893,.pdf,3409257,SERVER_LOCAL
DISCONNECT,CLIENT,1513802384897,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
2.528
REQUEST_CONNECT,CLIENT,1513802386143,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802386147,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802386148,1513802388599,.mp3,4846713,SERVER_LOCAL
DISCONNECT,CLIENT,1513802388604,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
2.68
REQUEST_CONNECT,CLIENT,1513802389851,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802389856,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802389856,1513802392307,.mp3,4905254,SERVER_LOCAL
DISCONNECT,CLIENT,1513802392310,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
5.241999999999999
REQUEST_CONNECT,CLIENT,1513802393555,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802393562,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802393563,1513802396184,.mp3,5178593,SERVER_LOCAL
DISCONNECT,CLIENT,1513802396187,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
3.0300000000000002
REQUEST_CONNECT,CLIENT,1513802397471,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802397475,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802397476,1513802400449,.mp3,5963776,SERVER_LOCAL
DISCONNECT,CLIENT,1513802400452,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
2.332
REQUEST_CONNECT,CLIENT,1513802401717,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802401726,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802401728,1513802405176,.mp3,6897963,SERVER_LOCAL
DISCONNECT,CLIENT,1513802405181,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
2.8920000000000003
REQUEST_CONNECT,CLIENT,1513802406430,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802406434,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802406434,1513802410039,.pdf,6947882,SERVER_LOCAL
DISCONNECT,CLIENT,1513802410044,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
2.21
REQUEST_CONNECT,CLIENT,1513802411348,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802411354,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802411357,1513802415384,.mp3,7522076,SERVER_LOCAL
DISCONNECT,CLIENT,1513802415387,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
2.604
REQUEST_CONNECT,CLIENT,1513802416635,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802416639,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802416639,1513802420733,.mp3,7700653,SERVER_LOCAL
DISCONNECT,CLIENT,1513802420736,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
2.7199999999999998
REQUEST_CONNECT,CLIENT,1513802421985,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802421989,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802421989,1513802426180,.mp4,7953382,SERVER_LOCAL
DISCONNECT,CLIENT,1513802426187,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
1.922
REQUEST_CONNECT,CLIENT,1513802427448,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802427453,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802427453,1513802431743,.mp3,8012705,SERVER_LOCAL
DISCONNECT,CLIENT,1513802431748,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
4.232
REQUEST_CONNECT,CLIENT,1513802433066,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802433071,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802433072,1513802437459,.mp4,8297488,SERVER_LOCAL
DISCONNECT,CLIENT,1513802437934,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
4.013999999999999
REQUEST_CONNECT,CLIENT,1513802439425,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
CONNECT,CLIENT,1513802439429,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
SEND,CLIENT,192.168.1.3,XT1069,1513802439430,1513802445328,.mp3,9945088,SERVER_LOCAL
DISCONNECT,CLIENT,1513802445333,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
50.992000000000004
REQUEST_CONNECT,CLIENT,1513802446905,192.168.1.3,XT1069,-,-,-,SERVER_LOCAL
