 Tamanho(bytes), Tempo(ms),LarguraDeBanda(kb/s)
848806,427,+ACI-1941,24615778689+ACI-
5178593,2597,+ACI-1947,33143109838+ACI-
1009014,506,+ACI-1947,36212327075+ACI-
5963776,2962,+ACI-1966,239027684+ACI-
5178593,2552,+ACI-1981,66917185051+ACI-
4905254,2416,+ACI-1982,73473070157+ACI-
478886,235,+ACI-1990,05152925532+ACI-
1084673,532,+ACI-1991,07326421523+ACI-
8297488,4051,+ACI-2000,25070970131+ACI-
603517,292,+ACI-2018,39750107021+ACI-
1009014,488,+ACI-2019,19105404713+ACI-
1009014,486,+ACI-2027,50048225309+ACI-
5178593,2484,+ACI-2035,91776431663+ACI-
1009014,483,+ACI-2040,09365295031+ACI-
4905254,2333,+ACI-2053,27351451993+ACI-
4846713,2297,+ACI-2060,56515631802+ACI-
1084673,510,+ACI-2076,96269914216+ACI-
3363260,1575,+ACI-2085,35466269841+ACI-
4846713,2266,+ACI-2088,75470611761+ACI-
3363260,1557,+ACI-2109,46280908799+ACI-
4846713,2230,+ACI-2122,47451303251+ACI-
3363260,1531,+ACI-2145,28647534291+ACI-
3363260,1527,+ACI-2150,90608628029+ACI-
4905254,2219,+ACI-2158,75940034926+ACI-
4905254,2215,+ACI-2162,65783718962+ACI-
3363260,1506,+ACI-2180,89880063081+ACI-
4846713,2162,+ACI-2189,23134322965+ACI-
3409257,1508,+ACI-2207,79346091678+ACI-
2232746,982,+ACI-2220,38290796843+ACI-
3409257,1453,+ACI-2291,36444532863+ACI-
1084673,452,+ACI-2343,47561186394+ACI-
2232746,927,+ACI-2352,12083670442+ACI-
3409257,1411,+ACI-2359,56948197201+ACI-
2459010,1000,+ACI-2401,376953125+ACI-
3409257,1386,+ACI-2402,13025906385+ACI-
2232746,895,+ACI-2436,21901187151+ACI-
2459010,940,+ACI-2554,6563331117+ACI-
2232746,845,+ACI-2580,37398298817+ACI-
2459010,924,+ACI-2598,89280641234+ACI-
69598,26,+ACI-2614,10757211538+ACI-
2459010,906,+ACI-2650,52643832781+ACI-
2459010,898,+ACI-2674,13914601893+ACI-
2232746,810,+ACI-2691,87162422839+ACI-
2459010,889,+ACI-2701,21142083802+ACI-
2232746,796,+ACI-2739,21610003141+ACI-
60606,21,+ACI-2818,359375+ACI-
78311,27,+ACI-2832,4291087963+ACI-
43574,15,+ACI-2836,84895833333+ACI-
43574,2,+ACI-21276,3671875+ACI-
43574,2,+ACI-21276,3671875+ACI-
